X,NACA 0012-Re=   6e+04-Alpha= 0.00-NCrit=  9.0-XTrTop=1.000-XtrBot=1.000, , 
            1,   -0.05482155, , 
    0.9928006,   -0.05572823, , 
    0.9798895,   -0.05721997, , 
    0.9635184,   -0.05913836, , 
    0.9445469,     -0.061454, , 
    0.9234998,   -0.06420104, , 
    0.9007495,   -0.06744524, , 
     0.876583,   -0.07127718, , 
    0.8512328,   -0.07580583, , 
    0.8248944,   -0.08115402, , 
    0.7977362,   -0.08745184, , 
    0.7699063,    -0.0948188, , 
    0.7415373,    -0.1033431, , 
    0.7127487,     -0.112985, , 
      0.68365,    -0.1237703, , 
    0.6543419,    -0.1358161, , 
    0.6249182,    -0.1491029, , 
    0.5954661,    -0.1634901, , 
    0.5660677,    -0.1787646, , 
    0.5368005,     -0.194692, , 
    0.5077378,    -0.2110526, , 
    0.4789491,    -0.2276557, , 
    0.4505011,    -0.2443413, , 
    0.4224571,    -0.2609725, , 
    0.3948782,    -0.2774268, , 
    0.3678229,    -0.2935875, , 
    0.3413476,    -0.3093366, , 
    0.3155065,    -0.3245506, , 
    0.2903524,    -0.3390967, , 
    0.2659361,    -0.3528305, , 
    0.2423068,    -0.3655936, , 
    0.2195125,    -0.3772108, , 
    0.1975998,    -0.3874846, , 
    0.1766138,     -0.396188, , 
    0.1565988,    -0.4030511, , 
    0.1375977,    -0.4077409, , 
    0.1196525,    -0.4098276, , 
    0.1028043,    -0.4087318, , 
   0.08709309,     -0.403639, , 
   0.07255816,    -0.3933603, , 
   0.05923792,    -0.3761037, , 
   0.04717001,     -0.349092, , 
   0.03639132,    -0.3079271, , 
   0.02693808,    -0.2455588, , 
   0.01884581,    -0.1499532, , 
   0.01214942,  -0.005951974, , 
  0.006883198,      0.214948, , 
  0.003080868,      0.516066, , 
 0.0007755917,     0.8453057, , 
            0,             1, , 
 0.0007755917,     0.8453057, , 
  0.003080868,      0.516066, , 
  0.006883198,      0.214948, , 
   0.01214942,  -0.005952001, , 
   0.01884581,    -0.1499533, , 
   0.02693808,    -0.2455589, , 
   0.03639132,    -0.3079271, , 
   0.04717001,     -0.349092, , 
   0.05923792,    -0.3761037, , 
   0.07255816,    -0.3933603, , 
   0.08709309,     -0.403639, , 
    0.1028043,    -0.4087319, , 
    0.1196525,    -0.4098276, , 
    0.1375977,    -0.4077409, , 
    0.1565988,    -0.4030511, , 
    0.1766138,     -0.396188, , 
    0.1975998,    -0.3874846, , 
    0.2195125,    -0.3772108, , 
    0.2423068,    -0.3655937, , 
    0.2659361,    -0.3528305, , 
    0.2903524,    -0.3390967, , 
    0.3155065,    -0.3245506, , 
    0.3413476,    -0.3093366, , 
    0.3678229,    -0.2935875, , 
    0.3948782,    -0.2774268, , 
    0.4224571,    -0.2609725, , 
    0.4505011,    -0.2443413, , 
    0.4789491,    -0.2276557, , 
    0.5077378,    -0.2110526, , 
    0.5368005,     -0.194692, , 
    0.5660677,    -0.1787645, , 
    0.5954661,    -0.1634901, , 
    0.6249182,    -0.1491029, , 
    0.6543419,    -0.1358161, , 
      0.68365,    -0.1237703, , 
    0.7127487,    -0.1129851, , 
    0.7415373,    -0.1033432, , 
    0.7699063,   -0.09481882, , 
    0.7977362,   -0.08745185, , 
    0.8248944,   -0.08115403, , 
    0.8512328,   -0.07580584, , 
     0.876583,   -0.07127719, , 
    0.9007495,   -0.06744525, , 
    0.9234998,   -0.06420105, , 
    0.9445469,     -0.061454, , 
    0.9635184,   -0.05913836, , 
    0.9798895,   -0.05721997, , 
    0.9928006,   -0.05572823, , 
            1,   -0.05482155, , 

